Vehicle_Type,TollBoothID,Lane_Type,Vehicle_Dimensions,Geographical_Location,Vehicle_Speed,Fraud_indicator,state,month,time-of-day
Van,B-102,Regular,Medium,"12.936687032945434, 77.53113977439017",91,Not Fraud,Haryana,3,22
Sedan,A-101,Express,Medium,"12.936687032945434, 77.53113977439017",53,Not Fraud,Bihar,4,14
SUV,B-102,Regular,Large,"12.936687032945434, 77.53113977439017",82,Fraud,Karnataka,4,5
Bus ,C-103,Express,Large,"12.936687032945434, 77.53113977439017",56,Not Fraud,Andhra Pradesh,5,21
Car,A-101,Regular,Small,"12.936687032945434, 77.53113977439017",84,Not Fraud,Telangana,5,12
Motorcycle,D-106,Regular,Small,"12.936687032945434, 77.53113977439017",69,Not Fraud,Maharashtra,6,4
Truck,C-103,Regular,Large,"12.936687032945434, 77.53113977439017",94,Not Fraud,Kerala,7,19
Van,B-102,Express,Medium,"12.936687032945434, 77.53113977439017",49,Not Fraud,Gujarat,7,10
Sedan,A-101,Regular,Medium,"12.936687032945434, 77.53113977439017",76,Not Fraud,Tamil Nadu,8,2
SUV,B-102,Express,Large,"12.936687032945434, 77.53113977439017",63,Fraud,Rajasthan,8,17
Bus ,C-103,Regular,Large,"12.936687032945434, 77.53113977439017",88,Not Fraud,Delhi,9,9
Car,A-101,Express,Small,"12.936687032945434, 77.53113977439017",74,Not Fraud,Uttar Pradesh,9,0
Motorcycle,D-106,Regular,Small,"12.936687032945434, 77.53113977439017",96,Not Fraud,West Bengal,10,15
Truck,C-103,Express,Large,"12.936687032945434, 77.53113977439017",61,Fraud,Madhya Pradesh,11,6
Van,B-102,Regular,Medium,"12.936687032945434, 77.53113977439017",85,Not Fraud,Haryana,11,21
Sedan,A-101,Express,Medium,"13.21331620748757, 77.55413526894684",52,Fraud,Bihar,12,13
SUV,B-102,Regular,Large,"13.21331620748757, 77.55413526894684",79,Not Fraud,Karnataka,12,4
Bus ,C-103,Express,Large,"13.21331620748757, 77.55413526894684",66,Not Fraud,Andhra Pradesh,1,20
Car,A-101,Regular,Small,"13.21331620748757, 77.55413526894684",90,Fraud,Telangana,1,11
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",48,Not Fraud,Uttar Pradesh,2,3
Truck,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",77,Not Fraud,Kerala,2,19
Van,B-102,Express,Medium,"13.21331620748757, 77.55413526894684",60,Not Fraud,Gujarat,3,10
Sedan,A-101,Regular,Medium,"13.21331620748757, 77.55413526894684",83,Not Fraud,Tamil Nadu,3,2
SUV,B-102,Express,Large,"13.21331620748757, 77.55413526894684",71,Fraud,Rajasthan,4,17
Bus ,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",97,Not Fraud,Delhi,5,9
Car,A-101,Express,Small,"13.21331620748757, 77.55413526894684",46,Not Fraud,Uttar Pradesh,5,0
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",81,Not Fraud,West Bengal,6,15
Truck,C-103,Express,Large,"13.21331620748757, 77.55413526894684",64,Not Fraud,Madhya Pradesh,6,7
Van,B-102,Regular,Medium,"13.21331620748757, 77.55413526894684",93,Not Fraud,Haryana,7,22
Sedan,A-101,Express,Medium,"13.21331620748757, 77.55413526894684",57,Fraud,Bihar,7,14
SUV,B-102,Regular,Large,"13.21331620748757, 77.55413526894684",86,Not Fraud,Karnataka,8,5
Bus ,C-103,Express,Large,"13.21331620748757, 77.55413526894684",55,Not Fraud,Andhra Pradesh,9,20
Car,A-101,Regular,Small,"13.21331620748757, 77.55413526894684",82,Not Fraud,Telangana,9,12
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",63,Not Fraud,Maharashtra,10,3
Truck,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",90,Fraud,Kerala,10,19
Van,B-102,Express,Medium,"13.21331620748757, 77.55413526894684",48,Not Fraud,West Bengal,11,10
Sedan,A-101,Regular,Medium,"13.21331620748757, 77.55413526894684",76,Not Fraud,Tamil Nadu,11,2
SUV,B-102,Express,Large,"13.21331620748757, 77.55413526894684",58,Not Fraud,Rajasthan,12,17
Bus ,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",87,Not Fraud,Delhi,12,8
Car,A-101,Express,Small,"13.21331620748757, 77.55413526894684",67,Not Fraud,Uttar Pradesh,1,0
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",94,Not Fraud,West Bengal,1,15
Truck,C-103,Express,Large,"13.21331620748757, 77.55413526894684",71,Not Fraud,Madhya Pradesh,2,7
Van,B-102,Regular,Medium,"13.21331620748757, 77.55413526894684",89,Fraud,Haryana,3,22
Sedan,A-101,Express,Medium,"13.21331620748757, 77.55413526894684",52,Fraud,Bihar,3,14
SUV,B-102,Regular,Large,"13.21331620748757, 77.55413526894684",79,Not Fraud,Madhya Pradesh,4,5
Bus ,C-103,Express,Large,"13.21331620748757, 77.55413526894684",66,Not Fraud,Andhra Pradesh,4,20
Car,A-101,Regular,Small,"13.21331620748757, 77.55413526894684",95,Not Fraud,Telangana,5,12
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",44,Not Fraud,Maharashtra,5,3
Truck,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",78,Not Fraud,Kerala,6,19
Van,B-102,Express,Medium,"13.21331620748757, 77.55413526894684",61,Not Fraud,Haryana,7,10
Sedan,A-101,Regular,Medium,"13.21331620748757, 77.55413526894684",85,Not Fraud,Tamil Nadu,7,2
SUV,B-102,Express,Large,"13.21331620748757, 77.55413526894684",49,Fraud,Rajasthan,8,18
Bus ,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",74,Not Fraud,Delhi,8,9
Car,A-101,Express,Small,"13.21331620748757, 77.55413526894684",69,Not Fraud,Uttar Pradesh,9,1
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",92,Not Fraud,West Bengal,9,16
Truck,C-103,Express,Large,"13.21331620748757, 77.55413526894684",57,Not Fraud,Madhya Pradesh,10,8
Van,B-102,Regular,Medium,"13.21331620748757, 77.55413526894684",83,Not Fraud,Haryana,10,23
Sedan,A-101,Express,Medium,"13.21331620748757, 77.55413526894684",68,Not Fraud,Bihar,11,14
SUV,B-102,Regular,Large,"13.21331620748757, 77.55413526894684",96,Not Fraud,Karnataka,12,6
Bus ,C-103,Express,Large,"13.21331620748757, 77.55413526894684",46,Not Fraud,Andhra Pradesh,12,21
Car,A-101,Regular,Small,"13.21331620748757, 77.55413526894684",81,Not Fraud,Telangana,1,13
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",60,Not Fraud,Maharashtra,1,4
Truck,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",88,Not Fraud,Kerala,2,19
Van,B-102,Express,Medium,"13.21331620748757, 77.55413526894684",53,Fraud,Gujarat,2,11
Sedan,A-101,Regular,Medium,"13.21331620748757, 77.55413526894684",77,Fraud,Tamil Nadu,3,2
SUV,B-102,Express,Large,"13.21331620748757, 77.55413526894684",64,Not Fraud,Rajasthan,3,18
Bus ,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",91,Not Fraud,Delhi,4,9
Car,A-101,Express,Small,"13.21331620748757, 77.55413526894684",50,Not Fraud,Uttar Pradesh,4,1
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",75,Not Fraud,West Bengal,5,16
Truck,C-103,Express,Large,"13.21331620748757, 77.55413526894684",59,Fraud,Madhya Pradesh,6,7
Van,B-102,Regular,Medium,"13.21331620748757, 77.55413526894684",84,Not Fraud,Haryana,6,23
Sedan,A-101,Express,Medium,"13.21331620748757, 77.55413526894684",66,Not Fraud,Bihar,7,14
SUV,B-102,Regular,Large,"13.21331620748757, 77.55413526894684",93,Fraud,Bihar,7,6
Bus ,C-103,Express,Large,"13.21331620748757, 77.55413526894684",45,Not Fraud,Andhra Pradesh,8,21
Car,A-101,Regular,Small,"13.21331620748757, 77.55413526894684",80,Not Fraud,Telangana,8,13
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",62,Not Fraud,Maharashtra,9,4
Truck,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",86,Not Fraud,Kerala,10,19
Van,B-102,Express,Medium,"13.21331620748757, 77.55413526894684",51,Not Fraud,Gujarat,10,11
Sedan,A-101,Regular,Medium,"13.21331620748757, 77.55413526894684",73,Fraud,Tamil Nadu,11,2
SUV,B-102,Express,Large,"13.21331620748757, 77.55413526894684",56,Not Fraud,Karnataka,11,18
Bus ,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",82,Not Fraud,Andhra Pradesh,12,9
Car,A-101,Express,Small,"13.21331620748757, 77.55413526894684",70,Not Fraud,Telangana,12,0
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",97,Not Fraud,Maharashtra,1,16
Truck,C-103,Express,Large,"13.21331620748757, 77.55413526894684",47,Not Fraud,Kerala,1,7
Van,B-102,Regular,Medium,"13.21331620748757, 77.55413526894684",84,Not Fraud,Gujarat,2,23
Sedan,A-101,Express,Medium,"13.21331620748757, 77.55413526894684",65,Not Fraud,Tamil Nadu,3,14
SUV,B-102,Regular,Large,"13.21331620748757, 77.55413526894684",92,Not Fraud,Rajasthan,3,6
Bus ,C-103,Express,Large,"13.21331620748757, 77.55413526894684",53,Not Fraud,Delhi,4,21
Car,A-101,Regular,Small,"13.21331620748757, 77.55413526894684",79,Not Fraud,Uttar Pradesh,4,12
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",61,Not Fraud,West Bengal,5,4
Truck,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",89,Not Fraud,Madhya Pradesh,5,19
Van,B-102,Express,Medium,"13.21331620748757, 77.55413526894684",44,Not Fraud,Haryana,6,11
Sedan,A-101,Regular,Medium,"13.21331620748757, 77.55413526894684",78,Not Fraud,Bihar,6,2
SUV,B-102,Express,Large,"13.21331620748757, 77.55413526894684",67,Not Fraud,Karnataka,7,17
Bus ,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",95,Fraud,Andhra Pradesh,8,9
Car,A-101,Express,Small,"13.21331620748757, 77.55413526894684",55,Not Fraud,Telangana,8,0
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",80,Not Fraud,Maharashtra,9,16
Truck,C-103,Express,Large,"13.21331620748757, 77.55413526894684",62,Not Fraud,Kerala,9,7
Van,B-102,Regular,Medium,"13.21331620748757, 77.55413526894684",87,Not Fraud,Gujarat,10,23
Sedan,A-101,Express,Medium,"13.21331620748757, 77.55413526894684",47,Not Fraud,Tamil Nadu,10,14
SUV,B-102,Regular,Large,"13.21331620748757, 77.55413526894684",73,Fraud,Rajasthan,11,5
Bus ,C-103,Express,Large,"13.21331620748757, 77.55413526894684",68,Not Fraud,Delhi,12,21
Car,A-101,Regular,Small,"13.21331620748757, 77.55413526894684",91,Fraud,Uttar Pradesh,12,12
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",52,Not Fraud,West Bengal,1,4
Truck,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",82,Not Fraud,Madhya Pradesh,1,19
Van,B-102,Express,Medium,"13.21331620748757, 77.55413526894684",56,Not Fraud,Haryana,2,11
Sedan,A-101,Regular,Medium,"13.21331620748757, 77.55413526894684",84,Not Fraud,Bihar,2,2
SUV,B-102,Express,Large,"13.21331620748757, 77.55413526894684",69,Fraud,Karnataka,3,17
Bus ,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",94,Fraud,Andhra Pradesh,3,9
Car,A-101,Express,Small,"13.21331620748757, 77.55413526894684",49,Fraud,Telangana,4,0
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",76,Not Fraud,Maharashtra,4,16
Truck,C-103,Express,Large,"13.21331620748757, 77.55413526894684",63,Not Fraud,Karnataka,5,7
Van,B-102,Regular,Medium,"13.21331620748757, 77.55413526894684",88,Not Fraud,Karnataka,6,22
Sedan,A-101,Express,Medium,"13.21331620748757, 77.55413526894684",74,Not Fraud,Karnataka,6,14
SUV,B-102,Regular,Large,"13.21331620748757, 77.55413526894684",96,Not Fraud,Karnataka,7,5
Bus ,C-103,Express,Large,"13.21331620748757, 77.55413526894684",61,Not Fraud,Karnataka,7,21
Car,A-101,Regular,Small,"13.21331620748757, 77.55413526894684",85,Not Fraud,Karnataka,8,12
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",52,Not Fraud,Karnataka,8,4
Truck,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",79,Not Fraud,Karnataka,9,19
Van,B-102,Express,Medium,"13.21331620748757, 77.55413526894684",66,Fraud,Karnataka,10,10
Sedan,A-101,Regular,Medium,"13.21331620748757, 77.55413526894684",90,Not Fraud,Karnataka,10,2
SUV,B-102,Express,Large,"13.21331620748757, 77.55413526894684",48,Not Fraud,Karnataka,11,17
Bus ,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",77,Not Fraud,Karnataka,11,9
Car,A-101,Express,Small,"13.21331620748757, 77.55413526894684",60,Not Fraud,Karnataka,12,0
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",83,Not Fraud,Karnataka,12,16
Truck,C-103,Express,Large,"13.21331620748757, 77.55413526894684",71,Not Fraud,Karnataka,1,8
Van,B-102,Regular,Medium,"13.21331620748757, 77.55413526894684",97,Not Fraud,Karnataka,1,23
Sedan,A-101,Express,Medium,"13.21331620748757, 77.55413526894684",46,Fraud,Karnataka,2,15
SUV,B-102,Regular,Large,"13.21331620748757, 77.55413526894684",81,Not Fraud,Karnataka,3,6
Bus ,C-103,Express,Large,"13.21331620748757, 77.55413526894684",64,Not Fraud,Karnataka,3,22
Car,A-101,Regular,Small,"13.21331620748757, 77.55413526894684",93,Not Fraud,Karnataka,4,13
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",57,Not Fraud,Karnataka,4,4
Truck,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",86,Not Fraud,Karnataka,5,20
Van,B-102,Express,Medium,"13.21331620748757, 77.55413526894684",55,Not Fraud,Karnataka,5,11
Sedan,A-101,Regular,Medium,"13.21331620748757, 77.55413526894684",82,Not Fraud,Karnataka,6,3
SUV,B-102,Express,Large,"13.21331620748757, 77.55413526894684",63,Not Fraud,Karnataka,6,18
Bus ,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",90,Fraud,Karnataka,7,10
Car,A-101,Express,Small,"13.21331620748757, 77.55413526894684",48,Not Fraud,Karnataka,8,1
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",76,Not Fraud,Karnataka,8,16
Truck,C-103,Express,Large,"13.21331620748757, 77.55413526894684",58,Not Fraud,Karnataka,9,8
Van,B-102,Regular,Medium,"13.21331620748757, 77.55413526894684",87,Not Fraud,Karnataka,9,23
Sedan,A-101,Express,Medium,"13.21331620748757, 77.55413526894684",67,Not Fraud,Karnataka,10,15
SUV,B-102,Regular,Large,"13.21331620748757, 77.55413526894684",94,Not Fraud,Karnataka,10,6
Bus ,C-103,Express,Large,"13.21331620748757, 77.55413526894684",71,Not Fraud,Karnataka,11,21
Car,A-101,Regular,Small,"13.21331620748757, 77.55413526894684",89,Not Fraud,Karnataka,12,13
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",52,Not Fraud,Karnataka,12,4
Truck,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",79,Not Fraud,Karnataka,1,20
Van,B-102,Express,Medium,"13.21331620748757, 77.55413526894684",66,Not Fraud,Karnataka,1,11
Sedan,A-101,Regular,Medium,"13.21331620748757, 77.55413526894684",95,Not Fraud,Karnataka,2,3
SUV,B-102,Express,Large,"13.21331620748757, 77.55413526894684",44,Not Fraud,Karnataka,2,18
Bus ,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",78,Not Fraud,Karnataka,3,9
Car,A-101,Express,Small,"13.21331620748757, 77.55413526894684",61,Not Fraud,Karnataka,3,1
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",85,Not Fraud,Karnataka,4,16
Truck,C-103,Express,Large,"13.21331620748757, 77.55413526894684",49,Not Fraud,Karnataka,4,8
Van,B-102,Regular,Medium,"13.21331620748757, 77.55413526894684",74,Not Fraud,Karnataka,5,23
Sedan,A-101,Express,Medium,"13.21331620748757, 77.55413526894684",69,Fraud,Karnataka,6,15
SUV,B-102,Regular,Large,"13.21331620748757, 77.55413526894684",92,Not Fraud,Karnataka,6,7
Bus ,C-103,Express,Large,"13.21331620748757, 77.55413526894684",57,Not Fraud,Karnataka,7,22
Car,A-101,Regular,Small,"13.21331620748757, 77.55413526894684",83,Not Fraud,Karnataka,7,14
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",68,Not Fraud,Karnataka,8,5
Truck,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",96,Fraud,Karnataka,8,21
Van,B-102,Express,Medium,"13.21331620748757, 77.55413526894684",46,Not Fraud,Karnataka,9,12
Sedan,A-101,Regular,Medium,"13.21331620748757, 77.55413526894684",81,Not Fraud,Karnataka,10,3
SUV,B-102,Express,Large,"13.21331620748757, 77.55413526894684",60,Fraud,Karnataka,10,19
Bus ,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",88,Fraud,Karnataka,11,10
Car,A-101,Express,Small,"13.21331620748757, 77.55413526894684",53,Not Fraud,Karnataka,11,2
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",77,Not Fraud,Karnataka,12,17
Truck,C-103,Express,Large,"13.21331620748757, 77.55413526894684",64,Not Fraud,Karnataka,12,9
Van,B-102,Regular,Medium,"13.21331620748757, 77.55413526894684",91,Not Fraud,Karnataka,1,0
Sedan,A-101,Express,Medium,"13.21331620748757, 77.55413526894684",50,Not Fraud,Kerala,1,15
SUV,B-102,Regular,Large,"13.21331620748757, 77.55413526894684",75,Not Fraud,Gujarat,2,7
Bus ,C-103,Express,Large,"13.21331620748757, 77.55413526894684",59,Not Fraud,Tamil Nadu,3,22
Car,A-101,Regular,Small,"13.21331620748757, 77.55413526894684",84,Not Fraud,Rajasthan,3,14
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",66,Not Fraud,Delhi,4,5
Truck,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",93,Fraud,Uttar Pradesh,4,20
Van,B-102,Express,Medium,"13.21331620748757, 77.55413526894684",45,Not Fraud,West Bengal,5,12
Sedan,A-101,Regular,Medium,"13.21331620748757, 77.55413526894684",80,Not Fraud,Madhya Pradesh,5,3
SUV,B-102,Express,Large,"13.21331620748757, 77.55413526894684",62,Not Fraud,Haryana,6,19
Bus ,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",86,Not Fraud,Bihar,6,10
Car,A-101,Express,Small,"13.21331620748757, 77.55413526894684",51,Not Fraud,Karnataka,7,2
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",73,Not Fraud,Andhra Pradesh,8,17
Truck,C-103,Express,Large,"13.21331620748757, 77.55413526894684",56,Not Fraud,Telangana,8,8
Van,B-102,Regular,Medium,"13.21331620748757, 77.55413526894684",82,Not Fraud,Maharashtra,9,0
Sedan,A-101,Express,Medium,"13.21331620748757, 77.55413526894684",70,Not Fraud,Kerala,9,15
SUV,B-102,Regular,Large,"13.21331620748757, 77.55413526894684",97,Not Fraud,Gujarat,10,7
Bus ,C-103,Express,Large,"13.21331620748757, 77.55413526894684",47,Not Fraud,Tamil Nadu,10,22
Car,A-101,Regular,Small,"13.21331620748757, 77.55413526894684",84,Not Fraud,Rajasthan,11,14
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",65,Not Fraud,Delhi,12,6
Truck,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",92,Not Fraud,Uttar Pradesh,12,21
Van,B-102,Express,Medium,"13.21331620748757, 77.55413526894684",53,Fraud,West Bengal,1,13
Sedan,A-101,Regular,Medium,"13.21331620748757, 77.55413526894684",79,Not Fraud,Madhya Pradesh,1,4
SUV,B-102,Express,Large,"13.21331620748757, 77.55413526894684",61,Not Fraud,Haryana,2,20
Bus ,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",89,Not Fraud,Bihar,2,11
Car,A-101,Express,Small,"13.21331620748757, 77.55413526894684",44,Not Fraud,Karnataka,3,2
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",78,Not Fraud,Andhra Pradesh,3,18
Truck,C-103,Express,Large,"13.21331620748757, 77.55413526894684",67,Fraud,Telangana,4,9
Van,B-102,Regular,Medium,"13.21331620748757, 77.55413526894684",95,Not Fraud,Maharashtra,5,1
Sedan,A-101,Express,Medium,"13.21331620748757, 77.55413526894684",55,Not Fraud,Kerala,5,16
SUV,B-102,Regular,Large,"13.21331620748757, 77.55413526894684",80,Not Fraud,Gujarat,6,8
Bus ,C-103,Express,Large,"13.21331620748757, 77.55413526894684",62,Not Fraud,Tamil Nadu,6,23
Car,A-101,Regular,Small,"13.21331620748757, 77.55413526894684",87,Not Fraud,Rajasthan,7,14
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",47,Not Fraud,Goa,7,6
Truck,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",73,Not Fraud,Goa,8,21
Van,B-102,Express,Medium,"13.21331620748757, 77.55413526894684",68,Not Fraud,Goa,9,13
Sedan,A-101,Regular,Medium,"13.21331620748757, 77.55413526894684",91,Not Fraud,Goa,9,4
SUV,B-102,Express,Large,"13.21331620748757, 77.55413526894684",52,Not Fraud,Goa,10,19
Bus ,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",82,Not Fraud,Goa,10,11
Car,A-101,Express,Small,"13.21331620748757, 77.55413526894684",56,Not Fraud,Goa,11,2
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",84,Not Fraud,Goa,11,18
Truck,C-103,Express,Large,"13.21331620748757, 77.55413526894684",69,Fraud,Goa,12,9
Van,B-102,Regular,Medium,"13.21331620748757, 77.55413526894684",94,Not Fraud,Goa,12,1
Sedan,A-101,Express,Medium,"13.21331620748757, 77.55413526894684",49,Fraud,Goa,1,16
SUV,B-102,Regular,Large,"13.21331620748757, 77.55413526894684",76,Not Fraud,Delhi,1,7
Bus ,C-103,Express,Large,"13.21331620748757, 77.55413526894684",63,Not Fraud,Uttar Pradesh,2,23
Car,A-101,Regular,Small,"13.21331620748757, 77.55413526894684",88,Not Fraud,West Bengal,3,14
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",74,Not Fraud,Madhya Pradesh,3,6
Truck,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",96,Not Fraud,Haryana,4,21
Van,B-102,Express,Medium,"13.21331620748757, 77.55413526894684",61,Not Fraud,Bihar,4,13
Sedan,A-101,Regular,Medium,"13.21331620748757, 77.55413526894684",85,Not Fraud,Karnataka,5,5
SUV,B-102,Express,Large,"13.21331620748757, 77.55413526894684",52,Not Fraud,Andhra Pradesh,5,20
Bus ,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",79,Not Fraud,Telangana,6,12
Car,A-101,Express,Small,"13.21331620748757, 77.55413526894684",66,Not Fraud,Tamil Nadu,7,3
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",90,Not Fraud,Tamil Nadu,7,19
Truck,C-103,Express,Large,"13.21331620748757, 77.55413526894684",48,Not Fraud,Tamil Nadu,8,10
Van,B-102,Regular,Medium,"13.21331620748757, 77.55413526894684",77,Not Fraud,Tamil Nadu,8,1
Sedan,A-101,Express,Medium,"13.21331620748757, 77.55413526894684",60,Not Fraud,Tamil Nadu,9,17
SUV,B-102,Regular,Large,"13.21331620748757, 77.55413526894684",83,Not Fraud,Tamil Nadu,9,8
Bus ,C-103,Express,Large,"13.21331620748757, 77.55413526894684",71,Fraud,Tamil Nadu,10,0
Car,A-101,Regular,Small,"13.21331620748757, 77.55413526894684",97,Not Fraud,Tamil Nadu,10,15
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",46,Not Fraud,Tamil Nadu,11,7
Truck,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",81,Not Fraud,Tamil Nadu,12,22
Van,B-102,Express,Medium,"13.21331620748757, 77.55413526894684",64,Not Fraud,Tamil Nadu,12,13
Sedan,A-101,Regular,Medium,"13.21331620748757, 77.55413526894684",93,Not Fraud,Tamil Nadu,1,5
SUV,B-102,Express,Large,"13.21331620748757, 77.55413526894684",57,Not Fraud,Tamil Nadu,1,20
Bus ,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",86,Not Fraud,Tamil Nadu,2,12
Car,A-101,Express,Small,"13.21331620748757, 77.55413526894684",55,Fraud,Tamil Nadu,2,3
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",82,Not Fraud,Tamil Nadu,3,18
Truck,C-103,Express,Large,"13.21331620748757, 77.55413526894684",63,Not Fraud,Tamil Nadu,3,10
Van,B-102,Regular,Medium,"13.21331620748757, 77.55413526894684",90,Fraud,Tamil Nadu,4,1
Sedan,A-101,Express,Medium,"13.21331620748757, 77.55413526894684",48,Not Fraud,Tamil Nadu,5,17
SUV,B-102,Regular,Large,"13.21331620748757, 77.55413526894684",76,Not Fraud,Tamil Nadu,5,8
Bus ,C-103,Express,Large,"13.21331620748757, 77.55413526894684",58,Not Fraud,Tamil Nadu,6,0
Car,A-101,Regular,Small,"13.21331620748757, 77.55413526894684",87,Fraud,Tamil Nadu,6,15
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",67,Not Fraud,Tamil Nadu,7,6
Truck,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",94,Not Fraud,Tamil Nadu,7,22
Van,B-102,Express,Medium,"13.21331620748757, 77.55413526894684",71,Not Fraud,Tamil Nadu,8,13
Sedan,A-101,Regular,Medium,"13.21331620748757, 77.55413526894684",89,Not Fraud,Tamil Nadu,8,5
SUV,B-102,Express,Large,"13.21331620748757, 77.55413526894684",52,Fraud,Tamil Nadu,9,20
Bus ,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",79,Not Fraud,Tamil Nadu,10,12
Car,A-101,Express,Small,"13.21331620748757, 77.55413526894684",66,Not Fraud,Tamil Nadu,10,4
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",95,Not Fraud,Tamil Nadu,11,19
Truck,C-103,Express,Large,"13.21331620748757, 77.55413526894684",44,Not Fraud,Tamil Nadu,11,11
Van,B-102,Regular,Medium,"13.21331620748757, 77.55413526894684",78,Not Fraud,Tamil Nadu,12,2
Sedan,A-101,Express,Medium,"13.21331620748757, 77.55413526894684",61,Not Fraud,Tamil Nadu,12,18
SUV,B-102,Regular,Large,"13.21331620748757, 77.55413526894684",85,Not Fraud,Tamil Nadu,1,9
Bus ,C-103,Express,Large,"13.21331620748757, 77.55413526894684",49,Fraud,Tamil Nadu,1,0
Car,A-101,Regular,Small,"13.21331620748757, 77.55413526894684",74,Not Fraud,Tamil Nadu,2,16
Motorcycle,D-106,Regular,Small,"13.21331620748757, 77.55413526894684",69,Not Fraud,Tamil Nadu,3,7
Truck,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",92,Not Fraud,Tamil Nadu,3,23
Van,B-102,Express,Medium,"13.21331620748757, 77.55413526894684",57,Not Fraud,Tamil Nadu,4,14
Sedan,A-101,Regular,Medium,"13.21331620748757, 77.55413526894684",83,Not Fraud,Tamil Nadu,7,23
SUV,B-102,Express,Large,"13.21331620748757, 77.55413526894684",68,Not Fraud,Tamil Nadu,5,21
Bus ,C-103,Regular,Large,"13.21331620748757, 77.55413526894684",96,Fraud,Tamil Nadu,5,12
